ID_Equipo,Fecha_Servicio,Ciudad,Sector_Industrial,Magnitud,Tipo_Instrumento,Temp_Ambiente_C,Humedad_Relativa_perc,Presion_Barometrica_hPa,Incertidumbre,Error_Encontrado,Dias_Desde_Ultima_Calibracion,Estado_Final
EQ-2951-0001,2026-05-04,Quito,Alimentos,Volumen,Pipeta de pistón,15.9,48.0,735.9,0.007,0.018,370.0,Cumple
EQ-6234-0002,2025-12-19,Guayaquil,Manufactura,Presión,Vacuómetro,26.5,83.8,1012.6,0.14,0.47,726.0,No Cumple
EQ-9233-0003,2026-05-27,Cuenca,Manufactura,Presión,Transmisor de presión,14.0,52.8,751.5,0.10,0.67,420.0,No Cumple
EQ-9385-0004,2026-04-01,Quito,Alimentos,Presión,Transmisor de presión,16.0,54.6,733.2,0.14,0.44,379.0,No Cumple
EQ-2681-0005,2026-01-19,Cuenca,Manufactura,Volumen,Pipeta de pistón,12.6,64.1,751.2,0.008,0.011,333.0,Cumple
EQ-4658-0006,2025-10-15,Cuenca,Manufactura,Presión,Vacuómetro,15.3,63.0,746.9,0.14,0.60,479.0,No Cumple
EQ-7891-0007,2026-05-12,Quito,Alimentos,Presión,Manómetro analógico,19.5,53.4,736.1,0.15,0.36,298.0,No Cumple
EQ-9975-0008,2026-04-08,Manta,Alimentos,Temperatura,Termómetro digital,26.3,61.7,1014.5,0.05,0.10,359.0,Cumple
EQ-9042-0009,2025-12-03,Quito,Manufactura,Volumen,Matraz aforado,16.6,46.5,733.9,0.009,0.014,371.0,Cumple
EQ-8226-0010,2026-04-04,Quito,Manufactura,Masa,Balanza de precisión,20.6,53.8,730.7,0.021,0.020,373.0,Cumple
EQ-4931-0011,2026-04-02,Quito,Alimentos,Temperatura,Termocupla,16.3,56.9,733.1,0.04,0.26,321.0,Cumple
EQ-1041-0012,2026-01-10,Guayaquil,Alimentos,Masa,Balanza analítica,25.3,82.7,1013.7,0.020,0.036,345.0,Cumple
EQ-2322-0013,2026-06-21,Quito,Manufactura,Masa,Balanza industrial,16.5,54.7,735.4,0.032,0.015,424.0,Cumple
EQ-2814-0014,2025-11-12,Quito,Alimentos,Masa,Balanza analítica,15.8,54.9,735.4,0.019,0.022,364.0,Cumple
EQ-5706-0015,2025-12-25,Quito,Alimentos,Temperatura,Termómetro digital,18.7,49.2,737.8,0.04,0.11,360.0,Cumple
EQ-2606-0016,2026-02-17,Quito,Alimentos,Volumen,Matraz aforado,19.0,50.7,735.6,0.009,0.008,358.0,Cumple
EQ-8367-0017,2025-11-02,Cuenca,Manufactura,Masa,Balanza de precisión,15.3,59.3,748.8,0.024,0.031,374.0,Cumple
EQ-1188-0018,2025-09-28,Quito,Alimentos,Temperatura,Estufa de incubación,15.0,43.9,736.7,0.05,0.19,340.0,Cumple
